filename,label,header_length,file_size_kb,file_type,text_preview,num_pages,is_encrypted,pdf_version,has_javascript,has_embedded_files,has_openaction,has_launch
file_dataset.csv,unknown,1024,1760.39,application/vnd.ms-excel,"filename,label,header_length,file_size_kb,file_type,malice_content,num_pages,is_encrypted,pdf_version,has_javascript,has_embedded_files,has_openaction,has_launch,has_xfa,has_acroform
pdf_dataset.csv,unknown,1024,1279.89,text/plain,,,,,,,,,,
02eounrel.pdf,benign,1024,387.63,application/pdf,0.0,34.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
02frrltr.pdf,benign,1024,244.92,application/pdf,0.0,29.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
02govbnd.pdf,benign,1024,241.19,application/pdf,0.0,34.0,0.0,1.4,0.0,0.0,0.0,0.0",,,,,,,
02eounrel.pdf,benign,1024,387.63,application/pdf,,34.0,0.0,1.4,0.0,0.0,0.0,0.0
02frrltr.pdf,benign,1024,244.92,application/pdf,,29.0,0.0,1.6,0.0,0.0,0.0,0.0
02govbnd.pdf,benign,1024,241.19,application/pdf,,34.0,0.0,1.4,0.0,0.0,0.0,0.0
02solp.pdf,benign,1024,358.99,application/pdf,,59.0,0.0,1.2,0.0,0.0,0.0,0.0
030.pdf,benign,1024,32.01,application/pdf,,5.0,0.0,1.4,0.0,0.0,0.0,0.0
031mandelson.pdf,benign,1024,66.1,application/pdf,,4.0,0.0,1.4,0.0,0.0,0.0,0.0
032.pdf,benign,1024,65.22,application/pdf,,2.0,0.0,1.4,0.0,0.0,0.0,0.0
033.pdf,benign,1024,14.5,application/pdf,,4.0,0.0,1.4,0.0,0.0,0.0,0.0
036.pdf,benign,1024,15.43,application/pdf,,3.0,0.0,1.4,0.0,0.0,0.0,0.0
03herman.pdf,benign,1024,166.35,application/pdf,,12.0,0.0,1.6,0.0,0.0,0.0,0.0
041.pdf,benign,1024,222.48,application/pdf,,1.0,0.0,1.4,0.0,0.0,0.0,0.0
041211-arl-ala-reply-comments.pdf,benign,1024,143.17,application/pdf,,7.0,0.0,1.3,0.0,0.0,0.0,0.0
041211-MLA.pdf,benign,1024,171.45,application/pdf,,9.0,0.0,1.5,0.0,0.0,0.0,0.0
041211-society-of-american-archivists.pdf,benign,1024,245.15,application/pdf,,4.0,0.0,1.5,0.0,0.0,0.0,0.0
041411jgregg-gautereaux.pdf,benign,1024,321.55,application/pdf,,3.0,0.0,1.5,0.0,0.0,0.0,0.0
041411riaa-aaim.pdf,benign,1024,87.5,application/pdf,,4.0,0.0,1.3,0.0,0.0,0.0,0.0
041412arsc.pdf,benign,1024,127.6,application/pdf,,25.0,0.0,1.4,0.0,0.0,0.0,0.0
041413future-music-coalition.pdf,benign,1024,177.96,application/pdf,,8.0,0.0,1.3,0.0,0.0,0.0,0.0
041413nab.pdf,benign,1024,38.1,application/pdf,,9.0,0.0,1.5,0.0,0.0,0.0,0.0
041413patrick-loughney.pdf,benign,1024,73.16,application/pdf,,6.0,0.0,1.4,0.0,0.0,0.0,0.0
041413sirius-xm-radio.pdf,benign,1024,41.09,application/pdf,,13.0,0.0,1.4,0.0,0.0,0.0,0.0
042301f.pdf,benign,1024,45.29,application/pdf,,23.0,0.0,1.2,0.0,0.0,0.0,0.0
042302f.pdf,benign,1024,13.25,application/pdf,,6.0,0.0,1.2,0.0,0.0,0.0,0.0
042303f.pdf,benign,1024,17.05,application/pdf,,6.0,0.0,1.2,0.0,0.0,0.0,0.0
042304f.pdf,benign,1024,45.1,application/pdf,,9.0,0.0,1.3,0.0,0.0,0.0,0.0
042305f.pdf,benign,1024,28.47,application/pdf,,14.0,0.0,1.2,0.0,0.0,0.0,0.0
042306f.pdf,benign,1024,45.26,application/pdf,,24.0,0.0,1.2,0.0,0.0,0.0,0.0
042307f.pdf,benign,1024,15.16,application/pdf,,6.0,0.0,1.2,0.0,0.0,0.0,0.0
042308f.pdf,benign,1024,41.09,application/pdf,,13.0,0.0,1.2,0.0,0.0,0.0,0.0
042901f.pdf,benign,1024,56.97,application/pdf,,16.0,0.0,1.2,0.0,0.0,0.0,0.0
042902f.pdf,benign,1024,17.75,application/pdf,,7.0,0.0,1.2,0.0,0.0,0.0,0.0
